NPRI ID,Company Name,Facility Name,City,Census Subdivision,Census Area or Census Metropolitan Area,Economic Region,Province,Postal Code,Terrestrial Ecozone,Watershed,NAICS 4 Code,NAICS 6 Code,Latitude,Longitude
0000002703,Sherwin-Williams Canada,Brampton,Brampton,Brampton,Toronto,Toronto,ON,L7A 1B1,MixedWood Plain,St. Lawrence Drainage Area,4184,418410,43.7082,-79.806
0000002704,Washington Mills,Washington Mills,Niagara Falls,Niagara Falls,St. Catharines - Niagara,Hamilton--Niagara Peninsula,ON,L2E 6V9,MixedWood Plain,St. Lawrence Drainage Area,3279,327910,43.0644,-79.082
0000002710,Goldcorp Canada Limited - Red Lake Gold Mines,Red Lake Gold Mines,Balmertown,Red Lake, ,Northwest / Nord-ouest,ON,P0V 1C0,Boreal Shield,Nelson River Drainage Area,2122,212220,51.0597,-93.7308
0000002712,Moose Jaw Refinery Partnership,Moose Jaw Refinery,Moose Jaw,Moose Jaw,Moose Jaw,Swift Current--Moose Jaw,SK,S6H 6E3,Prairie,Nelson River Drainage Area,3241,324110,50.3884,-105.51963
0000002737,"Sapa Canada, Inc.","Sapa Canada, Inc. - Mississauga",Mississauga,Mississauga,Toronto,Toronto,ON,L4Z 2H9,MixedWood Plain,St. Lawrence Drainage Area,3313,331317,43.6306,-79.6575
0000002740,EVRAZ Inc NA Canada,EVRAZ Inc NA Canada - Regina Facilities,Regina,Sherwood No. 159,Regina,Regina--Moose Mountain,SK,S4P 3C7,Prairie,Nelson River Drainage Area,3311,331110,50.5176,-104.6301
0000002741,EVRAZ Inc NA Canada,EVRAZ Calgary Tubulars,Calgary,Calgary,Calgary,Calgary,AB,T2C 2A4,Prairie,Nelson River Drainage Area,3312,331210,50.985432,-113.992392
0000002744,Dynacast Ltd (*),Dynacast,Peterborough,Peterborough,Peterborough,Muskoka--Kawarthas,ON,K9J 6X7,MixedWood Plain,St. Lawrence Drainage Area,3315,331523,44.280284,-78.2954
0000002745,Diversey Canada Inc.,London,London,London,London,London,ON,N6N 1E4,MixedWood Plain,St. Lawrence Drainage Area,3256,325610,42.9225,-81.196
0000002749,City of Medicine Hat,Wastewater Treatment Plant,Medicine Hat,Cypress County,Medicine Hat,Lethbridge--Medicine Hat,AB,T1C 1S6,Prairie,Nelson River Drainage Area,2213,221320,50.05,-110.6417
0000002751,Hammond Power Solutions,Guelph,Guelph,Guelph,Guelph,Kitchener--Waterloo--Barrie,ON,N1G 3W6,MixedWood Plain,St. Lawrence Drainage Area,3353,335311,43.4952,-80.2145
