ORIS plant code,Name,Operator,County,State,Sulfur dioxide,Sulfur dioxide rank,Nitrogen oxides,Nitrogen oxides rank,Carbon dioxide,Carbon dioxide rank,Heat input,Gross load,Latitude,Longitude
6009,White Bluff,Entergy Corporation,Jefferson County,AR,23212.128,8,11418.401,6,9143966.942,39,87198159.24,8373582.58,34.4236,-92.1392
6016,Duck Creek,"Illinois Power Resources Generating, LLC",Fulton County,IL,24.855,300,1478.231,175,2096099.57,188,19985699.05,2166839.86,40.4663,-89.9841
6017,Newton,Illinois Power Generating Company,Jasper County,IL,4873.3,75,1538.247,171,3492322.882,143,33298297.77,3546554.94,38.9361,-88.2778
6018,East Bend,"Duke Energy Kentucky, Inc.",Boone County,KY,2630.195,129,2880.152,112,4895571.551,111,47715140.89,4638970.91,38.9031,-84.8511
6019,W H Zimmer Generating Station,Dynegy Zimmer LLC,Clermont County,OH,19505.174,14,8954.525,22,7897750.238,59,76976121.83,8899999.79,38.8689,-84.2286
6021,Craig,Tri-State Generation & Transmission,Moffat County,CO,3083.788,114,10728.444,11,8844565.435,46,84330284.31,8624010.53,40.4627,-107.5912
6030,Coal Creek,Great River Energy,McLean County,ND,6391.585,59,6250.633,45,8944066.465,44,82153669.53,8564625.29,47.3761,-101.1567
6031,Killen Station,"AES Ohio Generation, LLC, Dayton Power and Light Company",Adams County,OH,6215.428,62,9135.599,21,4592729.248,118,44777405.5,4517910.6,38.6903,-83.4803
6034,Belle River,Detroit Edison Company,St. Clair County,MI,22558.71,9,7714.072,30,7692250.228,63,73343352.92,7401094.01,42.7748,-82.4945
6041,H L Spurlock,East Kentucky Power Cooperative,Mason County,KY,3700.467,100,2684.723,117,6984148.978,71,68071678.12,7376903.95,38.7,-83.8175
6052,Wansley (6052),Georgia Power Company,Heard County,GA,2720.386,126,1944.183,143,4186038.199,128,40799615.19,4151635.6,33.4124,-85.0345
6055,Big Cajun 2,"Louisiana Generating, LLC",Pointe Coupee Parish,LA,14146.376,21,3801.908,86,6189427.915,89,59014410.3,5540200.47,30.7261,-91.3669
6061,R D Morrow Senior Generating Plant,South Mississippi Elec. Power Assoc,Lamar County,MS,15.974,302,228.686,298,119835.449,293,1167994.165,105206.75,31.2194,-89.3933
6064,Nearman Creek,Kansas City Board of Public Utilities,Wyandotte County,KS,903.329,213,1096.518,204,1173161.701,225,11195526.49,1064635.56,39.1714,-94.6958
6065,Iatan,Kansas City Power & Light Company,Platte County,MO,437.999,251,2923.12,111,10910547.43,28,104028848.1,11597774.75,39.4472,-94.98
6068,Jeffrey Energy Center,"Westar Energy, Inc.",Pottawatomie County,KS,1705.047,163,5725.898,58,12603014.56,19,120187004.3,11986859.39,39.2825,-96.1153
6071,Trimble County,LGE and KU Energy LLC,Trimble County,KY,3359.495,106,2222.4,134,7699844.85,62,74049005.99,8264767.8,38.5847,-85.4117
6073,Daniel Electric Generating Plant,Mississippi Power Company,Jackson County,MS,189.06,273,3968.005,83,2971944.226,162,28966389.08,2648004.5,30.5335,-88.5574
6076,Colstrip,"Talen Montana, LLC",Rosebud County,MT,9124.28,44,13074.373,4,15240558.78,10,145331565.7,14707217.22,45.8831,-106.614
6077,Gerald Gentleman Station,Nebraska Public Power District,Lincoln County,NE,21254.598,11,6891.735,41,8213300.8,54,78311498.05,8180717.5,41.0808,-101.1408
6082,Somerset Operating Company  (Kintigh),"Somerset Operating Company, LLC",Niagara County,NY,922.738,211,282.505,291,368542.19,268,3592028.904,372878.81,43.3561,-78.6039
6085,R M Schahfer Generating Station,Northern Indiana Public Service Company,Jasper County,IN,1570.366,169,4899.036,71,6431662.91,85,62271775.07,5671476.24,41.2175,-87.0239
6089,Lewis & Clark,Montana Dakota Utilities Company,Richland County,MT,24.949,299,578.87,246,338821.353,269,3117133.784,249664,47.6788,-104.1569
6090,Sherburne County,Northern States Power (Xcel Energy),Sherburne County,MN,6161.948,64,8645.633,25,13814823.97,14,131720280.6,12909207.97,45.3792,-93.8958
6094,Bruce Mansfield,FirstEnergy Generation Corporation,Beaver County,PA,9583.789,41,3176.596,104,8287346.485,52,79017486.05,8614074.71,40.6344,-80.42
6095,Sooner,Oklahoma Gas & Electric Company,Noble County,OK,9387.499,43,2450.185,127,4046895.402,130,38618418.45,3771787.02,36.4537,-97.0527
6096,Nebraska City Station,Omaha Public Power District,Otoe County,NE,15950.18,19,6053.136,49,9343763.6,36,89169617.74,9366275.35,40.6215,-95.7765
6098,Big Stone,Otter Tail Power Company,Grant County,SD,845.655,219,984.486,216,2487044.484,173,23713276.71,2182037.43,45.3047,-96.5103
6101,Wyodak,Pacificorp Energy Generation,Campbell County,WY,2450.324,137,3660.738,91,3380148.946,146,32228737.3,2901324.59,44.2886,-105.3847
6106,Boardman,Portland General Electric Company,Morrow County,OR,3278.059,107,1838.382,148,1873878.021,196,17866870.46,1844055.75,45.6933,-119.8056
6113,Gibson,"Duke Energy Indiana, LLC",Gibson County,IN,13648.025,23,11385.145,7,18002776.21,2,175465621.1,19487154.21,38.3722,-87.7661
6124,McIntosh (6124),Georgia Power Company,Effingham County,GA,88.313,289,75.282,319,38479.6,297,366878.3,34525,32.3558,-81.1683
6136,Gibbons Creek Steam Electric Station,Texas Municipal Power Agency,Grimes County,TX,334.962,259,1017.21,212,1905128.267,193,18628631.83,1698488.74,30.6167,-96.0778
6137,A B Brown Generating Station,Southern Indiana Gas and Electric Company,Posey County,IN,3113.962,112,1592.261,165,2357878.12,177,22981324.66,2184898.43,37.9053,-87.715
6138,Flint Creek Power Plant,Southwestern Electric Power Company,Benton County,AR,1594.55,165,3691.737,90,3033209.849,159,28920736.26,2940836.59,36.2561,-94.5241
6139,Welsh Power Plant,Southwestern Electric Power Company,Titus County,TX,14074.847,22,5564.952,61,6445984.807,84,61460653.68,5934236.26,33.0583,-94.844
6146,Martin Lake,Luminant Generation Company LLC,Rusk County,TX,36441.415,3,10591.279,12,15246908.84,9,140046981.9,13740783.4,32.2597,-94.5703
6147,Monticello,Luminant Generation Company LLC,Titus County,TX,29409.735,5,7634.037,31,10991332.02,26,104799583.3,9788766.2,33.0917,-95.0417
6155,Rush Island,Union Electric Company,Jefferson County,MO,22167.187,10,3584.003,93,9010804.964,43,85915428.86,9299682.69,38.1306,-90.2625
